"GEO_ID","NAME","POPGROUP","POPGROUP_LABEL","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Race/Ethnic Group","Population Groups","Estimate!!Total","Margin of Error!!Total",
"1400000US17031010100","Census Tract 101; Cook County; Illinois","001","Total population","4534","691",
"1400000US17031010100","Census Tract 101; Cook County; Illinois","003","White alone or in combination with one or more other races","2457","504",
"1400000US17031010100","Census Tract 101; Cook County; Illinois","005","Black or African American alone or in combination with one or more other races","1814","474",
"1400000US17031010201","Census Tract 102.01; Cook County; Illinois","001","Total population","8232","1160",
"1400000US17031010201","Census Tract 102.01; Cook County; Illinois","003","White alone or in combination with one or more other races","3669","959",
"1400000US17031010201","Census Tract 102.01; Cook County; Illinois","005","Black or African American alone or in combination with one or more other races","3851","1192",
"1400000US17031010201","Census Tract 102.01; Cook County; Illinois","400","Hispanic or Latino (of any race)","2047","691",
"1400000US17031010202","Census Tract 102.02; Cook County; Illinois","001","Total population","3124","489",
"1400000US17031010202","Census Tract 102.02; Cook County; Illinois","003","White alone or in combination with one or more other races","1297","317",
"1400000US17031010202","Census Tract 102.02; Cook County; Illinois","005","Black or African American alone or in combination with one or more other races","1043","458",
"1400000US17031010300","Census Tract 103; Cook County; Illinois","001","Total population","6085","971",
"1400000US17031010300","Census Tract 103; Cook County; Illinois","003","White alone or in combination with one or more other races","3264","434",
"1400000US17031010300","Census Tract 103; Cook County; Illinois","005","Black or African American alone or in combination with one or more other races","1907","709",
"1400000US17031010400","Census Tract 104; Cook County; Illinois","001","Total population","4587","675",
"1400000US17031010400","Census Tract 104; Cook County; Illinois","003","White alone or in combination with one or more other races","3730","569",
"1400000US17031010501","Census Tract 105.01; Cook County; Illinois","001","Total population","4057","718",
"1400000US17031010501","Census Tract 105.01; Cook County; Illinois","003","White alone or in combination with one or more other races","2603","640",
"1400000US17031010502","Census Tract 105.02; Cook County; Illinois","001","Total population","2816","341",
"1400000US17031010502","Census Tract 105.02; Cook County; Illinois","003","White alone or in combination with one or more other races","1847","263",
"1400000US17031010503","Census Tract 105.03; Cook County; Illinois","001","Total population","2182","403",
"1400000US17031010503","Census Tract 105.03; Cook County; Illinois","003","White alone or in combination with one or more other races","1815","384",
