"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US170310101001","Block Group 1, Census Tract 101, Cook County, Illinois","236","76","34","52","35","39","0","11","0","11","37","42","0","11","0","11","0","11","0","11","0","11","20","32","15","25","29","31","26","34","40","35","0","11",
"1500000US170310101002","Block Group 2, Census Tract 101, Cook County, Illinois","1054","162","277","134","65","91","60","60","202","136","75","87","0","11","18","29","88","89","0","11","21","25","95","65","53","61","95","73","5","15","0","11","0","11",
"1500000US170310101003","Block Group 3, Census Tract 101, Cook County, Illinois","1073","166","172","103","12","20","26","39","26","33","112","95","60","50","55","44","17","27","45","48","28","34","115","99","135","77","66","54","79","80","60","52","65","79",
"1500000US170310102011","Block Group 1, Census Tract 102.01, Cook County, Illinois","712","186","71","68","40","61","67","48","49","59","10","26","107","96","10","17","18","32","0","11","54","62","96","71","77","67","87","69","12","20","0","11","14","23",
"1500000US170310102012","Block Group 2, Census Tract 102.01, Cook County, Illinois","1424","195","288","156","15","24","67","59","109","57","105","98","93","77","43","51","0","11","45","42","150","87","144","97","159","85","115","75","44","51","47","45","0","11",
"1500000US170310102013","Block Group 3, Census Tract 102.01, Cook County, Illinois","611","146","99","109","0","11","10","17","0","11","43","61","109","93","9","14","0","11","0","11","135","81","48","62","56","54","43","51","59","49","0","11","0","11",
"1500000US170310102021","Block Group 1, Census Tract 102.02, Cook County, Illinois","516","80","81","51","27","26","65","51","80","52","31","26","14","23","0","11","36","34","0","11","60","44","41","36","48","36","9","13","16","17","0","11","8","12",
"1500000US170310102022","Block Group 2, Census Tract 102.02, Cook County, Illinois","620","82","48","35","9","13","0","11","68","45","51","43","24","22","48","36","45","41","21","27","59","51","81","51","74","57","49","41","0","11","36","33","7","12",
"1500000US170310103001","Block Group 1, Census Tract 103, Cook County, Illinois","490","128","73","62","49","64","38","37","68","71","0","11","0","11","0","11","58","46","0","11","26","29","26","29","62","54","34","43","43","67","13","20","0","11",
"1500000US170310103002","Block Group 2, Census Tract 103, Cook County, Illinois","997","204","111","91","37","39","10","17","38","62","21","36","110","118","86","94","59","75","12","19","63","43","147","131","141","67","58","75","25","37","39","56","40","47",
"1500000US170310103003","Block Group 3, Census Tract 103, Cook County, Illinois","821","167","92","78","24","39","65","69","53","55","59","59","108","103","39","36","83","91","13","21","41","51","53","47","106","73","59","56","0","11","26","33","0","11",
"1500000US170310103004","Block Group 4, Census Tract 103, Cook County, Illinois","783","189","33","40","77","84","23","30","11","19","32","40","174","120","69","102","0","11","0","11","85","86","38","28","52","44","26","42","28","32","33","41","102","78",
"1500000US170310104001","Block Group 1, Census Tract 104, Cook County, Illinois","805","161","142","125","36","41","19","31","49","46","35","39","77","62","62","59","34","37","18","29","70","57","73","59","128","105","16","24","18","30","0","11","28","28",
"1500000US170310104002","Block Group 2, Census Tract 104, Cook County, Illinois","494","113","35","37","31","36","20","31","0","11","0","11","37","41","109","67","20","32","39","44","71","84","17","28","37","41","64","59","0","11","14","21","0","11",
"1500000US170310104003","Block Group 3, Census Tract 104, Cook County, Illinois","689","130","77","62","88","100","60","57","25","29","19","31","23","36","56","52","15","24","20","26","82","64","33","37","17","28","121","77","19","32","34","52","0","11",
"1500000US170310105011","Block Group 1, Census Tract 105.01, Cook County, Illinois","509","143","70","72","0","11","47","44","26","30","28","35","33","39","44","44","16","28","0","11","35","43","34","37","107","110","25","24","0","11","44","71","0","11",
"1500000US170310105012","Block Group 2, Census Tract 105.01, Cook County, Illinois","1086","136","71","66","41","39","31","26","29","33","112","93","80","64","84","74","72","76","148","120","112","92","92","64","149","102","32","37","16","25","0","11","17","26",
"1500000US170310105013","Block Group 3, Census Tract 105.01, Cook County, Illinois","779","137","57","48","135","85","119","77","95","93","21","33","11","20","61","56","0","11","14","22","52","50","19","31","43","35","34","37","24","40","71","52","23","30",
"1500000US170310105021","Block Group 1, Census Tract 105.02, Cook County, Illinois","510","73","51","39","35","40","23","17","33","26","0","11","52","41","42","30","18","19","40","42","31","24","42","42","50","32","31","25","27","21","27","23","8","13",
"1500000US170310105022","Block Group 2, Census Tract 105.02, Cook County, Illinois","1062","107","120","77","112","72","101","76","58","30","61","50","72","37","38","41","74","47","67","36","93","68","79","54","63","39","57","30","26","20","32","36","9","14",
"1500000US170310105031","Block Group 1, Census Tract 105.03, Cook County, Illinois","690","111","214","64","89","60","119","59","39","34","24","28","0","11","8","13","0","11","27","32","35","28","30","31","34","44","8","14","15","18","16","17","32","23",
"1500000US170310105032","Block Group 2, Census Tract 105.03, Cook County, Illinois","369","77","105","49","19","31","12","14","32","36","21","19","7","11","7","11","18","29","5","9","53","40","45","40","9","15","22","32","14","16","0","11","0","11",
