area_name,Total,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Block Group 1, Census Tract 101",540,0,0,0,0,0,0,0,0,41,0,0,40,0,0,88,16,20,33,45,0,18,239,0,0
"Block Group 2, Census Tract 101",1353,38,0,0,12,0,0,0,0,0,0,0,0,0,166,67,246,39,100,127,27,391,132,8,0
"Block Group 3, Census Tract 101",1550,11,0,0,0,0,0,0,0,0,0,0,0,6,17,9,153,15,56,197,149,593,179,102,63
"Block Group 1, Census Tract 102.01",1269,26,0,0,0,0,0,0,0,0,0,0,0,27,0,0,249,60,114,159,117,240,277,0,0
"Block Group 2, Census Tract 102.01",1148,98,0,0,0,0,0,0,0,0,0,154,46,0,22,0,203,0,34,138,37,230,125,61,0
"Block Group 3, Census Tract 102.01",1316,0,0,0,0,0,0,0,31,34,0,15,0,13,99,0,405,226,33,175,29,132,91,15,18
"Block Group 4, Census Tract 102.01",1172,33,0,0,0,0,36,0,0,0,32,0,57,0,36,21,180,61,50,106,49,287,193,0,31
"Block Group 1, Census Tract 102.02",1198,119,0,0,0,0,0,0,0,32,0,70,0,25,0,7,223,101,108,127,86,211,51,7,31
"Block Group 2, Census Tract 102.02",986,7,0,0,0,0,0,0,0,8,0,0,46,20,32,6,57,40,85,149,46,291,121,52,26
"Block Group 1, Census Tract 103",856,0,0,0,0,0,0,0,0,0,0,24,49,0,23,36,153,15,15,56,28,280,89,88,0
"Block Group 2, Census Tract 103",2042,12,0,0,0,0,0,0,6,157,0,18,5,15,21,53,412,75,47,337,102,495,254,23,10
"Block Group 3, Census Tract 103",1256,0,0,0,0,0,0,0,0,3,0,8,0,36,0,8,201,100,39,248,139,285,170,19,0
"Block Group 4, Census Tract 103",997,33,0,0,0,0,25,0,24,10,0,0,0,10,0,0,63,44,50,127,33,299,237,28,14
"Block Group 1, Census Tract 104",731,54,0,0,0,0,0,0,0,0,0,0,0,23,0,16,67,33,1,111,18,199,150,11,48
"Block Group 2, Census Tract 104",906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,22,45,67,39,500,154,0,0
"Block Group 3, Census Tract 104",1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,402,56,370,167,44,0
"Block Group 1, Census Tract 105.01",688,2,0,0,0,0,0,12,0,0,0,3,0,0,3,0,86,0,43,89,84,198,154,0,14
"Block Group 2, Census Tract 105.01",1327,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,166,119,58,224,27,399,281,14,35
"Block Group 3, Census Tract 105.01",1153,0,0,0,0,0,0,0,0,0,0,8,0,9,22,0,79,0,104,125,87,422,274,0,23
"Block Group 1, Census Tract 105.02",695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,93,0,15,102,43,223,186,8,9
"Block Group 2, Census Tract 105.02",1155,0,0,0,0,0,0,0,0,0,0,0,0,20,22,53,112,8,43,144,56,395,184,10,108
"Block Group 1, Census Tract 105.03",763,80,0,0,0,0,20,0,3,0,17,0,21,23,11,23,183,7,20,104,0,122,75,21,33
"Block Group 2, Census Tract 105.03",320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,88,10,14,41,38,42,86,0,0
"Block Group 1, Census Tract 106",1568,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,186,79,110,126,19,486,449,31,21
"Block Group 2, Census Tract 106",613,3,0,0,0,0,0,0,0,0,0,19,12,14,0,1,50,37,0,53,146,199,35,0,44
"Block Group 3, Census Tract 106",1352,22,0,0,0,0,0,0,0,55,0,21,0,0,0,0,186,19,0,172,24,492,262,26,73
"Block Group 4, Census Tract 106",1014,0,0,0,0,0,0,26,0,0,0,0,0,0,48,0,110,0,0,143,119,342,161,34,31
"Block Group 1, Census Tract 107.01",1209,15,0,0,0,0,0,250,0,0,0,0,0,0,0,0,375,0,38,107,46,209,153,2,14
"Block Group 2, Census Tract 107.01",1570,47,0,0,0,0,0,0,0,22,0,0,7,0,0,23,210,77,142,176,112,467,229,44,14
"Block Group 1, Census Tract 107.02",971,28,0,0,0,24,0,81,0,39,0,36,11,0,0,54,124,27,78,131,32,178,105,6,17
"Block Group 2, Census Tract 107.02",666,0,0,0,0,0,0,25,76,80,0,39,9,0,0,10,54,21,0,19,15,201,106,0,11
"Block Group 3, Census Tract 107.02",885,11,0,25,0,0,0,0,0,0,0,0,0,0,0,24,0,52,62,61,84,389,152,18,7
"Block Group 4, Census Tract 107.02",491,14,0,0,0,0,0,0,0,0,0,52,0,0,0,25,9,0,10,92,169,85,22,0,13
