"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US170310101001","Block Group 1, Census Tract 101, Cook County, Illinois","236","76","117","56","119","73",
"1500000US170310101002","Block Group 2, Census Tract 101, Cook County, Illinois","1054","162","53","40","1001","166",
"1500000US170310101003","Block Group 3, Census Tract 101, Cook County, Illinois","1073","166","327","111","746","174",
"1500000US170310102011","Block Group 1, Census Tract 102.01, Cook County, Illinois","712","186","224","108","488","140",
"1500000US170310102012","Block Group 2, Census Tract 102.01, Cook County, Illinois","1424","195","353","111","1071","200",
"1500000US170310102013","Block Group 3, Census Tract 102.01, Cook County, Illinois","611","146","114","62","497","153",
"1500000US170310102021","Block Group 1, Census Tract 102.02, Cook County, Illinois","516","80","142","51","374","83",
"1500000US170310102022","Block Group 2, Census Tract 102.02, Cook County, Illinois","620","82","117","49","503","92",
"1500000US170310103001","Block Group 1, Census Tract 103, Cook County, Illinois","490","128","252","90","238","95",
"1500000US170310103002","Block Group 2, Census Tract 103, Cook County, Illinois","997","204","321","112","676","213",
"1500000US170310103003","Block Group 3, Census Tract 103, Cook County, Illinois","821","167","178","91","643","173",
"1500000US170310103004","Block Group 4, Census Tract 103, Cook County, Illinois","783","189","291","107","492","174",
"1500000US170310104001","Block Group 1, Census Tract 104, Cook County, Illinois","805","161","129","72","676","161",
"1500000US170310104002","Block Group 2, Census Tract 104, Cook County, Illinois","494","113","170","79","324","116",
"1500000US170310104003","Block Group 3, Census Tract 104, Cook County, Illinois","689","130","123","67","566","133",
"1500000US170310105011","Block Group 1, Census Tract 105.01, Cook County, Illinois","509","143","91","47","418","147",
"1500000US170310105012","Block Group 2, Census Tract 105.01, Cook County, Illinois","1086","136","91","53","995","153",
"1500000US170310105013","Block Group 3, Census Tract 105.01, Cook County, Illinois","779","137","139","70","640","129",
