"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US170310101001","Block Group 1; Census Tract 101; Cook County; Illinois","239","112","157","101","82","79",
"1500000US170310101002","Block Group 2; Census Tract 101; Cook County; Illinois","856","277","188","167","668","220",
"1500000US170310101003","Block Group 3; Census Tract 101; Cook County; Illinois","1227","264","452","169","775","216",
"1500000US170310102011","Block Group 1; Census Tract 102.01; Cook County; Illinois","945","218","481","176","464","200",
"1500000US170310102012","Block Group 2; Census Tract 102.01; Cook County; Illinois","578","210","77","50","501","210",
"1500000US170310102013","Block Group 3; Census Tract 102.01; Cook County; Illinois","736","298","63","63","673","287",
"1500000US170310102014","Block Group 4; Census Tract 102.01; Cook County; Illinois","769","316","206","145","563","281",
"1500000US170310102021","Block Group 1; Census Tract 102.02; Cook County; Illinois","584","117","86","37","498","112",
"1500000US170310102022","Block Group 2; Census Tract 102.02; Cook County; Illinois","639","142","204","84","435","140",
"1500000US170310103001","Block Group 1; Census Tract 103; Cook County; Illinois","414","150","248","104","166","114",
"1500000US170310103002","Block Group 2; Census Tract 103; Cook County; Illinois","1119","326","398","129","721","320",
"1500000US170310103003","Block Group 3; Census Tract 103; Cook County; Illinois","832","194","195","136","637","173",
"1500000US170310103004","Block Group 4; Census Tract 103; Cook County; Illinois","682","164","277","126","405","157",
"1500000US170310104001","Block Group 1; Census Tract 104; Cook County; Illinois","618","168","167","93","451","131",
"1500000US170310104002","Block Group 2; Census Tract 104; Cook County; Illinois","613","221","285","134","328","190",
"1500000US170310104003","Block Group 3; Census Tract 104; Cook County; Illinois","827","444","138","79","689","438",
"1500000US170310105011","Block Group 1; Census Tract 105.01; Cook County; Illinois","547","225","70","64","477","220",
"1500000US170310105012","Block Group 2; Census Tract 105.01; Cook County; Illinois","951","219","150","82","801","235",
"1500000US170310105013","Block Group 3; Census Tract 105.01; Cook County; Illinois","919","260","160","78","759","257",
"1500000US170310105021","Block Group 1; Census Tract 105.02; Cook County; Illinois","656","126","152","63","504","132",
"1500000US170310105022","Block Group 2; Census Tract 105.02; Cook County; Illinois","926","128","255","110","671","120",
"1500000US170310105031","Block Group 1; Census Tract 105.03; Cook County; Illinois","893","124","109","43","784","137",
"1500000US170310105032","Block Group 2; Census Tract 105.03; Cook County; Illinois","422","120","82","70","340","112",
"1500000US170310106001","Block Group 1; Census Tract 106; Cook County; Illinois","1004","265","332","133","672","255",
"1500000US170310106002","Block Group 2; Census Tract 106; Cook County; Illinois","338","195","273","185","65","81",
"1500000US170310106003","Block Group 3; Census Tract 106; Cook County; Illinois","1010","283","325","172","685","235",
"1500000US170310106004","Block Group 4; Census Tract 106; Cook County; Illinois","591","166","188","93","403","154",
"1500000US170310107011","Block Group 1; Census Tract 107.01; Cook County; Illinois","626","206","289","91","337","190",
"1500000US170310107012","Block Group 2; Census Tract 107.01; Cook County; Illinois","977","128","555","112","422","102",
"1500000US170310107021","Block Group 1; Census Tract 107.02; Cook County; Illinois","607","137","124","84","483","131",
"1500000US170310107022","Block Group 2; Census Tract 107.02; Cook County; Illinois","255","103","18","32","237","103",
"1500000US170310107023","Block Group 3; Census Tract 107.02; Cook County; Illinois","580","139","198","80","382","145",
"1500000US170310107024","Block Group 4; Census Tract 107.02; Cook County; Illinois","473","147","67","45","406","145",
"1500000US170310201001","Block Group 1; Census Tract 201; Cook County; Illinois","846","132","254","102","592","106",
"1500000US170310201002","Block Group 2; Census Tract 201; Cook County; Illinois","833","191","326","97","507","183",
"1500000US170310202001","Block Group 1; Census Tract 202; Cook County; Illinois","401","92","385","95","16","27",
"1500000US170310202002","Block Group 2; Census Tract 202; Cook County; Illinois","342","151","64","47","278","154",
"1500000US170310202003","Block Group 3; Census Tract 202; Cook County; Illinois","677","145","574","128","103","106",
"1500000US170310202004","Block Group 4; Census Tract 202; Cook County; Illinois","569","231","513","232","56","44",
"1500000US170310203011","Block Group 1; Census Tract 203.01; Cook County; Illinois","1067","243","874","240","193","90",
"1500000US170310203012","Block Group 2; Census Tract 203.01; Cook County; Illinois","619","184","354","189","265","142",
"1500000US170310203013","Block Group 3; Census Tract 203.01; Cook County; Illinois","529","126","335","82","194","105",
"1500000US170310203021","Block Group 1; Census Tract 203.02; Cook County; Illinois","460","118","247","104","213","100",
"1500000US170310203022","Block Group 2; Census Tract 203.02; Cook County; Illinois","495","184","294","165","201","93",
"1500000US170310203023","Block Group 3; Census Tract 203.02; Cook County; Illinois","781","106","550","102","231","72",
"1500000US170310204001","Block Group 1; Census Tract 204; Cook County; Illinois","460","167","127","57","333","168",
"1500000US170310204002","Block Group 2; Census Tract 204; Cook County; Illinois","468","96","304","85","164","74",
"1500000US170310204003","Block Group 3; Census Tract 204; Cook County; Illinois","741","149","346","104","395","146",
"1500000US170310205001","Block Group 1; Census Tract 205; Cook County; Illinois","865","209","177","99","688","224",
"1500000US170310205002","Block Group 2; Census Tract 205; Cook County; Illinois","498","227","175","113","323","210",
"1500000US170310205003","Block Group 3; Census Tract 205; Cook County; Illinois","417","130","161","103","256","120",
"1500000US170310205004","Block Group 4; Census Tract 205; Cook County; Illinois","441","205","95","80","346","229",
"1500000US170310206011","Block Group 1; Census Tract 206.01; Cook County; Illinois","393","151","289","91","104","133",
"1500000US170310206012","Block Group 2; Census Tract 206.01; Cook County; Illinois","1160","281","452","209","708","274",
"1500000US170310206013","Block Group 3; Census Tract 206.01; Cook County; Illinois","505","137","369","111","136","99",
"1500000US170310206021","Block Group 1; Census Tract 206.02; Cook County; Illinois","385","132","238","105","147","80",
"1500000US170310206022","Block Group 2; Census Tract 206.02; Cook County; Illinois","296","88","80","40","216","85",
"1500000US170310206023","Block Group 3; Census Tract 206.02; Cook County; Illinois","359","146","156","68","203","137",
"1500000US170310206024","Block Group 4; Census Tract 206.02; Cook County; Illinois","562","322","381","281","181","172",
