"GEO_ID","NAME","B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M","B25075_026E","B25075_026M","B25075_027E","B25075_027M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $49,999","Margin of Error!!Total:!!$40,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $69,999","Margin of Error!!Total:!!$60,000 to $69,999","Estimate!!Total:!!$70,000 to $79,999","Margin of Error!!Total:!!$70,000 to $79,999","Estimate!!Total:!!$80,000 to $89,999","Margin of Error!!Total:!!$80,000 to $89,999","Estimate!!Total:!!$90,000 to $99,999","Margin of Error!!Total:!!$90,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $174,999","Margin of Error!!Total:!!$150,000 to $174,999","Estimate!!Total:!!$175,000 to $199,999","Margin of Error!!Total:!!$175,000 to $199,999","Estimate!!Total:!!$200,000 to $249,999","Margin of Error!!Total:!!$200,000 to $249,999","Estimate!!Total:!!$250,000 to $299,999","Margin of Error!!Total:!!$250,000 to $299,999","Estimate!!Total:!!$300,000 to $399,999","Margin of Error!!Total:!!$300,000 to $399,999","Estimate!!Total:!!$400,000 to $499,999","Margin of Error!!Total:!!$400,000 to $499,999","Estimate!!Total:!!$500,000 to $749,999","Margin of Error!!Total:!!$500,000 to $749,999","Estimate!!Total:!!$750,000 to $999,999","Margin of Error!!Total:!!$750,000 to $999,999","Estimate!!Total:!!$1,000,000 to $1,499,999","Margin of Error!!Total:!!$1,000,000 to $1,499,999","Estimate!!Total:!!$1,500,000 to $1,999,999","Margin of Error!!Total:!!$1,500,000 to $1,999,999","Estimate!!Total:!!$2,000,000 or more","Margin of Error!!Total:!!$2,000,000 or more",
"1500000US170310101001","Block Group 1, Census Tract 101, Cook County, Illinois","125","79","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","25","0","12","0","12","66","60","0","12","32","42","11","18","0","12","0","12","0","12","0","12",
"1500000US170310101002","Block Group 2, Census Tract 101, Cook County, Illinois","220","161","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","34","54","15","26","0","12","0","12","40","62","9","17","0","12","122","139","0","12","0","12","0","12","0","12","0","12",
"1500000US170310101003","Block Group 3, Census Tract 101, Cook County, Illinois","463","143","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","25","43","69","66","70","13","20","152","90","15","23","67","65","13","23","15","26","0","12","63","72","0","12","0","12",
"1500000US170310102011","Block Group 1, Census Tract 102.01, Cook County, Illinois","476","162","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","18","0","12","35","47","61","95","49","59","0","12","18","27","145","116","0","12","46","46","38","44","53","58","19","33","0","12","0","12","0","12","0","12",
"1500000US170310102012","Block Group 2, Census Tract 102.01, Cook County, Illinois","92","52","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","15","0","12","0","12","12","20","0","12","15","25","44","38","13","21","0","12","0","12","0","12","0","12",
"1500000US170310102013","Block Group 3, Census Tract 102.01, Cook County, Illinois","92","72","19","29","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","43","45","0","12","0","12","30","49","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US170310102014","Block Group 4, Census Tract 102.01, Cook County, Illinois","157","74","0","12","35","52","0","12","0","12","0","12","0","12","0","12","0","12","26","41","0","12","0","12","17","26","0","12","11","18","31","35","0","12","0","12","37","40","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US170310102021","Block Group 1, Census Tract 102.02, Cook County, Illinois","111","50","9","15","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","12","48","41","39","29","8","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US170310102022","Block Group 2, Census Tract 102.02, Cook County, Illinois","184","96","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","32","34","20","25","42","60","0","12","19","24","24","30","28","32","19","24","0","12","0","12","0","12","0","12","0","12",
