area_name,Total,"Less than $10,000","$10,000 to \$14,999","\$15,000 to \$19,999","$20,000 to \$24,999","$25,000 to \$29,999","$30,000 to \$34,999","$35,000 to \$39,999","$40,000 to \$44,999","$45,000 to \$49,999","$50,000 to \$59,999","$60,000 to \$74,999","$75,000 to \$99,999","$100,000 to \$124,999","$125,000 to \$149,999","$150,000 to \$199,999","$200,000 or more"
"Block Group 1, Census Tract 101",239,0,0,0,0,0,0,0,0,0,0,37,111,0,0,24,67
"Block Group 2, Census Tract 101",856,165,84,14,154,74,43,5,18,18,0,72,135,74,0,0,0
"Block Group 3, Census Tract 101",1227,68,21,20,0,75,0,61,16,93,111,137,227,84,46,146,122
"Block Group 1, Census Tract 102.01",945,82,51,36,9,0,0,101,16,0,89,92,187,53,158,0,71
"Block Group 2, Census Tract 102.01",578,49,0,16,0,0,132,56,65,15,0,95,69,16,52,0,13
"Block Group 3, Census Tract 102.01",736,132,28,0,57,74,20,18,61,0,0,169,122,13,0,42,0
"Block Group 4, Census Tract 102.01",769,0,0,32,37,39,48,179,25,0,29,103,102,14,83,78,0
"Block Group 1, Census Tract 102.02",584,40,75,13,59,67,16,6,6,59,43,31,114,19,0,0,36
"Block Group 2, Census Tract 102.02",639,10,33,0,0,7,28,8,101,21,32,63,157,93,14,29,43
"Block Group 1, Census Tract 103",414,0,39,0,25,0,22,0,0,65,19,48,45,46,18,76,11
"Block Group 2, Census Tract 103",1119,2,19,94,50,182,0,0,23,19,75,93,180,157,112,46,67
"Block Group 3, Census Tract 103",832,0,65,20,178,0,33,17,73,0,130,53,81,18,43,0,121
"Block Group 4, Census Tract 103",682,44,50,0,11,9,0,84,0,20,17,127,140,0,54,65,61
"Block Group 1, Census Tract 104",618,56,56,0,0,0,0,38,17,63,29,63,118,91,35,0,52
"Block Group 2, Census Tract 104",613,17,21,0,0,21,0,0,108,178,19,0,68,126,37,0,18
"Block Group 3, Census Tract 104",827,55,94,249,85,19,0,24,0,25,19,86,19,34,55,63,0
"Block Group 1, Census Tract 105.01",547,74,0,139,86,0,41,35,11,16,0,44,0,27,16,0,58
"Block Group 2, Census Tract 105.01",951,15,80,0,43,21,99,123,79,95,55,47,87,136,71,0,0
"Block Group 3, Census Tract 105.01",919,45,114,0,21,87,49,3,21,46,101,96,137,0,21,124,54
"Block Group 1, Census Tract 105.02",656,55,33,82,10,10,0,8,37,38,28,51,148,77,22,37,20
"Block Group 2, Census Tract 105.02",926,78,78,35,62,34,18,73,25,53,80,62,130,38,39,11,110
"Block Group 1, Census Tract 105.03",893,220,236,91,47,18,49,6,0,44,20,55,41,27,12,8,19
"Block Group 2, Census Tract 105.03",422,126,4,13,59,34,9,0,8,0,8,96,35,0,0,16,14
"Block Group 1, Census Tract 106",1004,0,27,19,0,31,28,81,11,51,114,152,177,45,160,21,87
"Block Group 2, Census Tract 106",338,0,52,0,0,0,62,0,0,0,10,0,29,60,0,112,13
"Block Group 3, Census Tract 106",1010,54,33,101,30,34,0,107,23,47,92,69,38,173,0,50,159
"Block Group 4, Census Tract 106",591,27,90,24,7,5,0,22,34,23,25,80,99,35,95,25,0
"Block Group 1, Census Tract 107.01",626,21,0,22,11,0,169,0,33,21,0,60,141,55,18,22,53
"Block Group 2, Census Tract 107.01",977,0,11,0,31,104,22,40,33,26,105,134,145,29,57,72,168
"Block Group 1, Census Tract 107.02",607,62,0,8,36,87,10,75,37,12,0,82,81,79,0,0,38
"Block Group 2, Census Tract 107.02",255,0,23,19,6,0,0,10,31,2,107,0,12,0,0,27,18
"Block Group 3, Census Tract 107.02",580,41,13,0,33,37,42,19,96,47,64,0,53,24,73,13,25
"Block Group 4, Census Tract 107.02",473,32,6,0,0,25,0,16,29,0,125,69,135,32,4,0,0
"Block Group 1, Census Tract 201",846,34,0,51,39,0,18,61,33,20,46,85,72,108,131,99,49
"Block Group 2, Census Tract 201",833,20,15,134,40,18,41,57,84,98,70,41,156,0,34,14,11
"Block Group 1, Census Tract 202",401,0,29,0,0,0,0,16,16,0,0,37,67,72,44,90,30
"Block Group 2, Census Tract 202",342,0,0,0,19,0,0,0,75,38,0,0,47,125,0,0,38
"Block Group 3, Census Tract 202",677,93,0,17,17,18,16,0,0,42,0,64,7,51,114,47,191
"Block Group 4, Census Tract 202",569,0,0,0,0,0,0,0,19,0,0,37,132,8,151,49,173
"Block Group 1, Census Tract 203.01",1067,20,74,76,40,33,18,61,55,20,44,235,190,74,58,39,30
"Block Group 2, Census Tract 203.01",619,54,50,47,10,12,32,9,11,0,25,46,39,67,62,155,0
"Block Group 3, Census Tract 203.01",529,100,0,0,0,18,22,0,11,0,34,30,59,48,38,113,56
"Block Group 1, Census Tract 203.02",460,0,48,0,9,11,0,27,13,0,47,46,128,0,19,15,97
"Block Group 2, Census Tract 203.02",495,0,12,0,0,18,0,0,0,24,123,60,46,20,42,0,150
"Block Group 3, Census Tract 203.02",781,21,15,33,9,16,52,33,55,6,33,89,85,40,45,95,154
"Block Group 1, Census Tract 204",460,0,0,0,0,0,0,49,24,22,85,43,58,29,10,26,114
"Block Group 2, Census Tract 204",468,53,70,0,30,20,12,0,0,0,0,13,59,25,21,97,68
"Block Group 3, Census Tract 204",741,0,16,33,0,30,128,0,33,9,79,72,41,159,42,46,53
"Block Group 1, Census Tract 205",865,133,0,16,19,187,0,5,114,0,0,138,131,56,0,0,66
"Block Group 2, Census Tract 205",498,53,0,49,20,0,48,0,17,0,0,71,187,53,0,0,0
"Block Group 3, Census Tract 205",417,58,95,0,20,60,11,0,0,0,54,9,25,28,57,0,0
"Block Group 4, Census Tract 205",441,0,126,84,22,0,0,0,0,43,0,39,65,62,0,0,0
"Block Group 1, Census Tract 206.01",393,0,3,0,13,0,12,27,23,0,10,0,37,106,12,22,128
"Block Group 2, Census Tract 206.01",1160,12,68,15,103,14,210,0,33,34,126,127,61,204,107,15,31
"Block Group 3, Census Tract 206.01",505,80,0,13,41,48,30,0,0,37,36,40,29,0,119,18,14
"Block Group 1, Census Tract 206.02",385,16,15,11,30,0,23,0,24,0,23,142,52,0,0,20,29
"Block Group 2, Census Tract 206.02",296,11,0,32,0,29,0,10,28,0,10,18,96,0,13,16,33
"Block Group 3, Census Tract 206.02",359,0,29,0,0,0,0,6,0,13,95,8,66,13,61,34,34
"Block Group 4, Census Tract 206.02",562,12,0,23,0,10,13,0,11,16,10,10,47,136,18,31,225
"Block Group 1, Census Tract 207.01",491,6,116,7,0,7,23,0,25,7,32,39,43,52,26,27,81
"Block Group 2, Census Tract 207.01",273,0,0,7,9,10,20,0,0,0,11,20,36,54,25,34,47
"Block Group 1, Census Tract 207.02",617,15,0,0,12,82,0,27,79,50,8,94,11,92,26,82,39
"Block Group 2, Census Tract 207.02",763,32,10,13,16,144,61,67,0,0,80,15,177,57,60,12,19
"Block Group 3, Census Tract 207.02",571,88,10,0,0,42,0,56,0,74,43,13,31,98,18,57,41
"Block Group 4, Census Tract 207.02",532,61,0,51,0,0,0,42,0,0,0,58,179,5,0,0,136
