geoid,Geographic Area Name,Total Population,White Population,Black Population,Hispanic Population,racial_population_list
1500000US170310101001,"Block Group 1, Census Tract 101",550,257,172,121,"[550, 257, 172, 121]"
1500000US170310101002,"Block Group 2, Census Tract 101",2247,377,1622,248,"[2247, 377, 1622, 248]"
1500000US170310101003,"Block Group 3, Census Tract 101",1850,958,645,247,"[1850, 958, 645, 247]"
1500000US170310102011,"Block Group 1, Census Tract 102.01",1308,395,578,335,"[1308, 395, 578, 335]"
1500000US170310102012,"Block Group 2, Census Tract 102.01",3657,860,1495,1302,"[3657, 860, 1495, 1302]"
1500000US170310102013,"Block Group 3, Census Tract 102.01",1064,380,272,412,"[1064, 380, 272, 412]"
1500000US170310102021,"Block Group 1, Census Tract 102.02",1208,406,425,377,"[1208, 406, 425, 377]"
1500000US170310102022,"Block Group 2, Census Tract 102.02",1426,485,529,412,"[1426, 485, 529, 412]"
1500000US170310103001,"Block Group 1, Census Tract 103",913,584,248,81,"[913, 584, 248, 81]"
1500000US170310103002,"Block Group 2, Census Tract 103",2097,1032,609,456,"[2097, 1032, 609, 456]"
1500000US170310103003,"Block Group 3, Census Tract 103",1487,772,519,196,"[1487, 772, 519, 196]"
1500000US170310103004,"Block Group 4, Census Tract 103",1337,560,341,436,"[1337, 560, 341, 436]"
1500000US170310104001,"Block Group 1, Census Tract 104",1307,849,325,133,"[1307, 849, 325, 133]"
1500000US170310104002,"Block Group 2, Census Tract 104",729,484,157,88,"[729, 484, 157, 88]"
1500000US170310104003,"Block Group 3, Census Tract 104",2385,1880,246,259,"[2385, 1880, 246, 259]"
1500000US170310105011,"Block Group 1, Census Tract 105.01",794,479,240,75,"[794, 479, 240, 75]"
1500000US170310105012,"Block Group 2, Census Tract 105.01",1621,667,736,218,"[1621, 667, 736, 218]"
1500000US170310105013,"Block Group 3, Census Tract 105.01",1234,703,318,213,"[1234, 703, 318, 213]"
1500000US170310105021,"Block Group 1, Census Tract 105.02",1236,767,306,163,"[1236, 767, 306, 163]"
1500000US170310105022,"Block Group 2, Census Tract 105.02",1602,978,447,177,"[1602, 978, 447, 177]"
1500000US170310105031,"Block Group 1, Census Tract 105.03",1195,856,172,167,"[1195, 856, 172, 167]"
1500000US170310105032,"Block Group 2, Census Tract 105.03",727,513,136,78,"[727, 513, 136, 78]"
1500000US170310106001,"Block Group 1, Census Tract 106",1789,938,575,276,"[1789, 938, 575, 276]"
1500000US170310106002,"Block Group 2, Census Tract 106",800,389,274,137,"[800, 389, 274, 137]"
1500000US170310106003,"Block Group 3, Census Tract 106",1781,1175,322,284,"[1781, 1175, 322, 284]"
1500000US170310106004,"Block Group 4, Census Tract 106",1352,549,347,456,"[1352, 549, 347, 456]"
1500000US170310107011,"Block Group 1, Census Tract 107.01",1545,558,294,693,"[1545, 558, 294, 693]"
1500000US170310107012,"Block Group 2, Census Tract 107.01",2085,862,453,770,"[2085, 862, 453, 770]"
1500000US170310107021,"Block Group 1, Census Tract 107.02",1490,410,375,705,"[1490, 410, 375, 705]"
1500000US170310107022,"Block Group 2, Census Tract 107.02",1041,201,168,672,"[1041, 201, 168, 672]"
1500000US170310107023,"Block Group 3, Census Tract 107.02",1445,407,278,760,"[1445, 407, 278, 760]"
1500000US170310107024,"Block Group 4, Census Tract 107.02",805,207,312,286,"[805, 207, 312, 286]"
1500000US170310201001,"Block Group 1, Census Tract 201",1998,760,602,636,"[1998, 760, 602, 636]"
1500000US170310201002,"Block Group 2, Census Tract 201",1320,440,564,316,"[1320, 440, 564, 316]"
1500000US170310202001,"Block Group 1, Census Tract 202",1498,1297,75,126,"[1498, 1297, 75, 126]"
1500000US170310202002,"Block Group 2, Census Tract 202",1094,625,144,325,"[1094, 625, 144, 325]"
1500000US170310202003,"Block Group 3, Census Tract 202",1247,907,91,249,"[1247, 907, 91, 249]"
1500000US170310202004,"Block Group 4, Census Tract 202",1412,875,294,243,"[1412, 875, 294, 243]"
1500000US170310203011,"Block Group 1, Census Tract 203.01",1449,1392,17,40,"[1449, 1392, 17, 40]"
1500000US170310203012,"Block Group 2, Census Tract 203.01",1041,923,51,67,"[1041, 923, 51, 67]"
1500000US170310203013,"Block Group 3, Census Tract 203.01",1752,1535,35,182,"[1752, 1535, 35, 182]"
1500000US170310203021,"Block Group 1, Census Tract 203.02",1170,727,138,305,"[1170, 727, 138, 305]"
1500000US170310203022,"Block Group 2, Census Tract 203.02",859,558,84,217,"[859, 558, 84, 217]"
1500000US170310203023,"Block Group 3, Census Tract 203.02",2084,1424,230,430,"[2084, 1424, 230, 430]"
1500000US170310204001,"Block Group 1, Census Tract 204",688,421,78,189,"[688, 421, 78, 189]"
1500000US170310204002,"Block Group 2, Census Tract 204",1334,736,272,326,"[1334, 736, 272, 326]"
1500000US170310204003,"Block Group 3, Census Tract 204",1581,744,365,472,"[1581, 744, 365, 472]"
1500000US170310205001,"Block Group 1, Census Tract 205",1816,648,591,577,"[1816, 648, 591, 577]"
1500000US170310205002,"Block Group 2, Census Tract 205",689,228,180,281,"[689, 228, 180, 281]"
1500000US170310205003,"Block Group 3, Census Tract 205",1120,510,244,366,"[1120, 510, 244, 366]"
1500000US170310205004,"Block Group 4, Census Tract 205",801,286,211,304,"[801, 286, 211, 304]"
1500000US170310206011,"Block Group 1, Census Tract 206.01",1536,1292,42,202,"[1536, 1292, 42, 202]"
1500000US170310206012,"Block Group 2, Census Tract 206.01",2269,1667,148,454,"[2269, 1667, 148, 454]"
1500000US170310206013,"Block Group 3, Census Tract 206.01",1125,659,112,354,"[1125, 659, 112, 354]"
1500000US170310206021,"Block Group 1, Census Tract 206.02",981,502,115,364,"[981, 502, 115, 364]"
1500000US170310206022,"Block Group 2, Census Tract 206.02",688,270,41,377,"[688, 270, 41, 377]"
1500000US170310206023,"Block Group 3, Census Tract 206.02",674,341,91,242,"[674, 341, 91, 242]"
1500000US170310206024,"Block Group 4, Census Tract 206.02",737,512,69,156,"[737, 512, 69, 156]"
